date,mkt_rf,smb,hml,rmw,cma,rf
2023-01-03,-0.00388767,0.00181813,0.0055348,-0.00045623,0.0062574,0.00018
2023-01-04,-0.00511229,0.00133197,-0.0075483,-0.00313656,0.00222368,0.00018
2023-01-05,-0.00560634,0.00153825,-0.00069884,0.00310063,-0.00166095,0.00018
2023-01-06,0.01050785,-0.00027354,0.00017716,5.715e-05,-0.01007216,0.00018
2023-01-09,0.00498952,0.00506975,0.00772747,0.00111201,0.00402603,0.00018
2023-01-10,0.01502168,-0.00501023,0.00587171,0.00125761,0.00148224,0.00018
2023-01-11,0.00512381,-0.00768645,0.01022001,-0.00101436,0.00532829,0.00018
2023-01-12,-0.0102175,-0.00992294,0.01407099,-0.00274319,0.00730189,0.00018
2023-01-13,-0.00621879,0.00767815,0.00702734,0.00074648,0.0038853,0.00018
2023-01-16,0.0001066,0.00358617,0.00480087,-0.00772182,0.00020546,0.00018
2023-01-17,0.00578873,0.00101361,0.00398788,-0.00434478,-0.00142485,0.00018
2023-01-18,0.0069444,-0.00100112,-0.00281726,-0.00172605,-0.00535012,0.00018
2023-01-19,0.01040476,-0.00535556,0.00556443,0.00464617,0.01172974,0.00018
2023-01-20,-0.00695665,0.00106218,0.0071805,0.00066105,-4.97e-06,0.00018
2023-01-23,0.00440498,-0.00566605,-0.00094147,-0.00125611,-0.00155306,0.00018
2023-01-24,0.01149012,-0.00012546,-0.00080506,0.0005982,-0.00295633,0.00018
2023-01-25,0.00704573,0.00592871,0.00066653,-0.00179363,-0.00898899,0.00018
2023-01-26,-0.00139146,-0.00070418,-0.00600894,-0.00102568,0.00463646,0.00018
2023-01-27,-0.00854668,0.00189959,0.00608127,-0.00556272,0.0074845,0.00018
2023-01-30,-0.01420762,0.00113979,0.00644451,0.00070403,0.00317522,0.00018
2023-01-31,0.00965187,-0.0109546,-0.00282233,-0.00135421,-0.00778373,0.00018
2023-02-01,-0.00307979,0.00095814,0.00604664,0.00215817,-8.375e-05,0.00018
2023-02-02,-0.00403426,-0.00012064,0.00342202,-0.00497099,0.00548824,0.00018
2023-02-03,0.00346988,0.00553094,0.00178523,0.00426046,0.00180304,0.00018
2023-02-06,-0.00844855,0.00496407,-0.00791228,-1.665e-05,-0.00582863,0.00018
2023-02-07,-0.00632924,0.00175741,-0.0020057,0.00732653,-0.00491687,0.00018
2023-02-08,0.0003305,0.00427258,-0.00423406,-0.00128511,-0.00794293,0.00018
2023-02-09,0.007347,-0.00140322,-0.00852717,0.00719253,0.00122243,0.00018
