date,ticker,price,return
2023-01-03,SPY,378.5695,-0.00376446
2023-01-04,SPY,376.5952,-0.00521528
2023-01-05,SPY,374.4365,-0.00573198
2023-01-06,SPY,378.7781,0.01159486
2023-01-09,SPY,380.7191,0.00512438
2023-01-10,SPY,386.6064,0.01546366
2023-01-11,SPY,388.4737,0.00483
2023-01-12,SPY,384.4827,-0.01027359
2023-01-13,SPY,382.0708,-0.00627295
2023-01-16,SPY,382.2952,0.00058722
2023-01-17,SPY,384.6117,0.00605961
2023-01-18,SPY,387.2152,0.00676893
2023-01-19,SPY,391.3117,0.01057951
2023-01-20,SPY,388.3981,-0.00744579
2023-01-23,SPY,390.0344,0.00421303
2023-01-24,SPY,394.455,0.01133375
2023-01-25,SPY,397.4298,0.00754173
2023-01-26,SPY,396.9949,-0.00109446
2023-01-27,SPY,393.5761,-0.00861155
2023-01-30,SPY,388.0664,-0.01399908
2023-01-31,SPY,391.9647,0.01004536
2023-02-01,SPY,390.9924,-0.0024805
2023-02-02,SPY,389.7415,-0.00319934
2023-02-03,SPY,390.9858,0.00319267
2023-02-06,SPY,387.6994,-0.00840546
2023-02-07,SPY,385.2353,-0.00635557
2023-02-08,SPY,385.3592,0.00032151
2023-02-09,SPY,388.3016,0.00763545
2023-02-10,SPY,384.3324,-0.01022202
2023-02-13,SPY,379.8586,-0.01164045
2023-02-14,SPY,375.8776,-0.01048
2023-02-15,SPY,377.5819,0.0045341
2023-02-16,SPY,383.5772,0.01587805
2023-02-17,SPY,383.5565,-5.399e-05
2023-02-20,SPY,384.8063,0.00325862
2023-02-21,SPY,389.6311,0.01253818
2023-02-22,SPY,385.9595,-0.0094234
2023-02-23,SPY,387.9796,0.00523414
2023-02-24,SPY,396.3061,0.02146118
2023-02-27,SPY,399.7262,0.00863
2023-02-28,SPY,396.9425,-0.00696415
2023-03-01,SPY,398.3986,0.00366835
2023-03-02,SPY,399.5785,0.00296162
2023-03-03,SPY,404.635,0.0126545
2023-03-06,SPY,402.9041,-0.0042777
2023-03-07,SPY,403.8062,0.0022391
2023-03-08,SPY,404.0005,0.00048116
2023-03-09,SPY,397.8318,-0.0152691
2023-03-10,SPY,396.3453,-0.00373649
2023-03-13,SPY,397.1512,0.00203324
2023-03-14,SPY,395.1461,-0.00504849
2023-03-15,SPY,401.488,0.01604939
2023-03-16,SPY,400.7716,-0.00178447
2023-03-17,SPY,395.8194,-0.01235656
2023-03-20,SPY,395.8065,-3.249e-05
2023-03-21,SPY,395.5086,-0.00075265
2023-03-22,SPY,390.1317,-0.013595
2023-03-23,SPY,387.4952,-0.00675799
2023-03-24,SPY,389.9235,0.00626675
2023-03-27,SPY,389.2723,-0.00167005
2023-03-28,SPY,387.5584,-0.00440292
2023-03-29,SPY,389.6825,0.00548083
2023-03-30,SPY,388.4126,-0.00325895
2023-03-31,SPY,393.0618,0.01196982
2023-04-03,SPY,391.6264,-0.00365197
2023-04-04,SPY,390.5377,-0.00277994
2023-04-05,SPY,388.723,-0.00464665
2023-04-06,SPY,387.1987,-0.00392115
2023-04-07,SPY,388.7326,0.00396154
2023-04-10,SPY,390.5169,0.00458999
2023-04-11,SPY,392.1908,0.00428624
2023-04-12,SPY,400.1333,0.02025177
2023-04-13,SPY,400.049,-0.0002108
2023-04-14,SPY,401.5644,0.00378803
2023-04-17,SPY,398.2737,-0.00819452
2023-04-18,SPY,401.0669,0.00701321
2023-04-19,SPY,402.3425,0.0031804
2023-04-20,SPY,405.1825,0.00705861
2023-04-21,SPY,413.0294,0.01936652
2023-04-24,SPY,412.5645,-0.00112565
2023-04-25,SPY,397.3138,-0.03696562
2023-04-26,SPY,402.9067,0.01407681
2023-04-27,SPY,399.7072,-0.007941
2023-04-28,SPY,403.4442,0.00934925
2023-05-01,SPY,408.379,0.01223171
2023-05-02,SPY,401.5863,-0.01663336
2023-05-03,SPY,403.5434,0.00487339
2023-05-04,SPY,405.177,0.00404817
2023-05-05,SPY,394.5075,-0.026333
2023-05-08,SPY,393.7094,-0.00202297
2023-05-09,SPY,388.3899,-0.01351131
2023-05-10,SPY,392.6041,0.01085052
2023-05-11,SPY,392.6067,6.55e-06
2023-05-12,SPY,386.3788,-0.01586288
2023-05-15,SPY,390.7807,0.01139269
2023-05-16,SPY,388.5203,-0.00578419
2023-05-17,SPY,391.4776,0.00761173
2023-05-18,SPY,385.0008,-0.01654453
2023-05-19,SPY,388.3641,0.00873561
2023-05-22,SPY,382.1495,-0.01600187
2023-05-23,SPY,380.5667,-0.0041419
